No.;Time ;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jiter
11452;91,601756;;91,601756;91,601756;0;;-0,000982;-1E-04;0,000882
11453;91,601756;;91,601756;91,602738;0,000982;;-1E-04;0,001082;0,001182
11454;91,602738;;91,602738;91,60382;0,001082;;0,001082;-0,00024;-0,001322
11455;91,60382;;91,60382;91,60382;0;;-0,00024;1,5E-05;0,000255
11456;91,60382;;91,60382;91,60406;0,00024;;1,5E-05;-0,000303;-0,000318
11457;91,60406;;91,60406;91,604285;0,000225;;-0,000303;0,000528;0,000831
11458;91,604285;;91,604285;91,604813;0,000528;;0,000528;-0,012979;-0,013507
11459;91,604813;;91,604813;91,604813;0;;-0,012979;-0,005568;0,007411
11460;91,604813;;91,604813;91,617792;0,012979;;-0,005568;0,007506;0,013074
11461;91,617792;;91,617792;91,636339;0,018547;;0,007506;0,010558;0,003052
11462;91,636339;;91,636339;91,64738;0,011041;;0,010558;0,000483;-0,010075
11463;91,64738;;91,64738;91,647863;0,000483;;0,000483;-0,000895;-0,001378
11464;91,647863;;91,647863;91,647863;0;;-0,000895;0,000895;0,00179
11465;91,647863;;91,647863;91,648758;0,000895;;0,000895;0;-0,000895
11466;91,648758;;91,648758;91,648758;0;;0;-0,000508;-0,000508
11467;91,648758;;91,648758;91,648758;0;;-0,000508;-0,010932;-0,010424
11468;91,648758;;91,648758;91,649266;0,000508;;-0,010932;-0,027419;-0,016487
11469;91,649266;;91,649266;91,660706;0,01144;;-0,027419;0,036599;0,064018
11470;91,660706;;91,660706;91,699565;0,038859;;0,036599;0,00226;-0,034339
11471;91,699565;;91,699565;91,701825;0,00226;;0,00226;0;-0,00226
11472;91,701825;;91,701825;91,701825;0;;0;0;0
11473;91,701825;;91,701825;91,701825;0;;0;0;0
11474;91,701825;;91,701825;91,701825;0;;0;0;0
11475;91,701825;;91,701825;91,701825;0;;0;0;0
11476;91,701825;;91,701825;91,701825;0;;0;-0,000741;-0,000741
11477;91,701825;;91,701825;91,701825;0;;-0,000741;0,000741;0,001482
11478;91,701825;;91,701825;91,702566;0,000741;;0,000741;0;-0,000741
11479;91,702566;;91,702566;91,702566;0;;0;-0,00021;-0,00021
11480;91,702566;;91,702566;91,702566;0;;-0,00021;-0,001032;-0,000822
11481;91,702566;;91,702566;91,702776;0,00021;;-0,001032;0,001157;0,002189
11482;91,702776;;91,702776;91,704018;0,001242;;0,001157;8,5E-05;-0,001072
11483;91,704018;;91,704018;91,704103;8,5E-05;;8,5E-05;-0,0126;-0,012685
11484;91,704103;;91,704103;91,704103;0;;-0,0126;-0,027199;-0,014599
11485;91,704103;;91,704103;91,716703;0,0126;;-0,027199;0,039007;0,066206
11486;91,716703;;91,716703;91,756502;0,039799;;0,039007;-0,001295;-0,040302
11487;91,756502;;91,756502;91,757294;0,000792;;-0,001295;0,002087;0,003382
11488;91,757294;;91,757294;91,759381;0,002087;;0,002087;0;-0,002087
11489;91,759381;;91,759381;91,759381;0;;0;0;0
11490;91,759381;;91,759381;91,759381;0;;0;0;0
11491;91,759381;;91,759381;91,759381;0;;0;0;0
11492;91,759381;;91,759381;91,759381;0;;0;0;0
11493;91,759381;;91,759381;91,759381;0;;0;0;0
11494;91,759381;;91,759381;91,759381;0;;0;0;0
11495;91,759381;;91,759381;91,759381;0;;0;-0,000312;-0,000312
11496;91,759381;;91,759381;91,759381;0;;-0,000312;2E-05;0,000332
11497;91,759381;;91,759381;91,759693;0,000312;;2E-05;-3,6E-05;-5,6E-05
11498;91,759693;;91,759693;91,759985;0,000292;;-3,6E-05;-0,00079;-0,000754
11499;91,759985;;91,759985;91,760313;0,000328;;-0,00079;0,001118;0,001908
11500;91,760313;;91,760313;91,761431;0,001118;;0,001118;0;-0,001118
11501;91,761431;;91,761431;91,761431;0;;0;0;0
11502;91,761431;;91,761431;91,761431;0;;0;0;0
11503;91,761431;;91,761431;91,761431;0;;0;0;0
11504;91,761431;;91,761431;91,761431;0;;0;-0,01251;-0,01251
11505;91,761431;;91,761431;91,761431;0;;-0,01251;-0,071017;-0,058507
11506;91,761431;;91,761431;91,773941;0,01251;;-0,071017;0,083527;0,154544
11507;91,773941;;91,773941;91,857468;0,083527;;0,083527;0;-0,083527
11508;91,857468;;91,857468;91,857468;0;;0;-0,001304;-0,001304
11509;91,857468;;91,857468;91,857468;0;;-0,001304;-0,001967;-0,000663
11510;91,857468;;91,857468;91,858772;0,001304;;-0,001967;0,003271;0,005238
11511;91,858772;;91,858772;91,862043;0,003271;;0,003271;-0,009023;-0,012294
11512;91,862043;;91,862043;91,862043;0;;-0,009023;-0,02192;-0,012897
11513;91,862043;;91,862043;91,871066;0,009023;;-0,02192;0,030759;0,052679
11514;91,871066;;91,871066;91,902009;0,030943;;0,030759;0,000141;-0,030618
11515;91,902009;;91,902009;91,902193;0,000184;;0,000141;1,42109E-14;-0,000141
11516;91,902193;;91,902193;91,902236;4,3E-05;;1,42109E-14;-0,000332;-0,000332
11517;91,902236;;91,902236;91,902279;4,3E-05;;-0,000332;-0,000186;0,000146
11518;91,902279;;91,902279;91,902654;0,000375;;-0,000186;0,000561;0,000747
11519;91,902654;;91,902654;91,903215;0,000561;;0,000561;-0,000167;-0,000728
11520;91,903215;;91,903215;91,903215;0;;-0,000167;0,000167;0,000334
11521;91,903215;;91,903215;91,903382;0,000167;;0,000167;0;-0,000167
11522;91,903382;;91,903382;91,903382;0;;0;-0,000288;-0,000288
11523;91,903382;;91,903382;91,903382;0;;-0,000288;0,000288;0,000576
11524;91,903382;;91,903382;91,90367;0,000288;;0,000288;-0,000528;-0,000816
11525;91,90367;;91,90367;91,90367;0;;-0,000528;-0,007442;-0,006914
11526;91,90367;;91,90367;91,904198;0,000528;;-0,007442;0,00797;0,015412
11527;91,904198;;91,904198;91,912168;0,00797;;0,00797;-0,00053;-0,0085
11528;91,912168;;91,912168;91,912168;0;;-0,00053;0,000504;0,001034
11529;91,912168;;91,912168;91,912698;0,00053;;0,000504;2,6E-05;-0,000478
11530;91,912698;;91,912698;91,912724;2,6E-05;;2,6E-05;-0,013453;-0,013479
